IPProto,SrcIP,SrcPort,DstIp,DstPort,UID,App,PackageName,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen
6,10.215.173.1,47204,18.164.52.51,443,10345,Agar.io,com.miniclip.agar.io,HTTPS,Closed,prod-nf-assets.webeng.miniclip.com,3379,182753,23,39,2026-06-26T21:33:05.484+02:00,2026-06-26T21:33:31.757+02:00
6,10.215.173.1,47218,18.164.52.51,443,10345,Agar.io,com.miniclip.agar.io,HTTPS,Closed,prod-nf-assets.webeng.miniclip.com,3395,176718,21,33,2026-06-26T21:33:05.489+02:00,2026-06-26T21:33:31.757+02:00
6,10.215.173.1,47222,18.164.52.51,443,10345,Agar.io,com.miniclip.agar.io,HTTPS,Closed,prod-nf-assets.webeng.miniclip.com,4779,796655,58,107,2026-06-26T21:33:05.492+02:00,2026-06-26T21:33:31.757+02:00
6,10.215.173.1,42152,142.251.39.206,443,10345,Agar.io,com.miniclip.agar.io,HTTPS,Error,fundingchoicesmessages.google.com,2265,153716,19,29,2026-06-26T21:33:05.578+02:00,2026-06-26T21:33:07.179+02:00
17,10.215.173.1,40816,18.164.52.51,443,10345,Agar.io,com.miniclip.agar.io,QUIC,Closed,prod-nf-assets.webeng.miniclip.com,4360,7559,9,9,2026-06-26T21:33:05.584+02:00,2026-06-26T21:33:05.662+02:00
17,10.215.173.1,60395,142.251.209.131,443,10345,Agar.io,com.miniclip.agar.io,QUIC,Closed,fonts.gstatic.com,4148,8873,6,10,2026-06-26T21:33:06.091+02:00,2026-06-26T21:33:06.259+02:00
6,10.215.173.1,42154,142.251.39.206,443,10345,Agar.io,com.miniclip.agar.io,HTTPS,Closed,fundingchoicesmessages.google.com,6347,11527,24,20,2026-06-26T21:33:06.112+02:00,2026-06-26T21:33:31.757+02:00
6,10.215.173.1,42160,142.251.39.206,443,10345,Agar.io,com.miniclip.agar.io,HTTPS,Closed,fundingchoicesmessages.google.com,2149,7706,7,7,2026-06-26T21:33:06.125+02:00,2026-06-26T21:33:06.728+02:00
17,10.215.173.1,29296,10.215.173.2,53,10345,Agar.io,com.miniclip.agar.io,DNS,Closed,sts.applovin.com,62,78,1,1,2026-06-26T21:33:06.130+02:00,2026-06-26T21:33:06.176+02:00
17,10.215.173.1,49091,10.215.173.2,53,10345,Agar.io,com.miniclip.agar.io,DNS,Closed,d.applovin.com,60,76,1,1,2026-06-26T21:33:06.157+02:00,2026-06-26T21:33:06.192+02:00
6,10.215.173.1,56966,34.111.80.193,443,10345,Agar.io,com.miniclip.agar.io,HTTPS,Error,sts.applovin.com,2393,5652,10,9,2026-06-26T21:33:06.184+02:00,2026-06-26T21:33:07.560+02:00
6,10.215.173.1,58720,34.110.179.88,443,10345,Agar.io,com.miniclip.agar.io,HTTPS,Error,d.applovin.com,5763,6676,9,8,2026-06-26T21:33:06.197+02:00,2026-06-26T21:33:07.798+02:00
17,10.215.173.1,7779,10.215.173.2,53,10345,Agar.io,com.miniclip.agar.io,DNS,Closed,rt.applovin.com,61,77,1,1,2026-06-26T21:33:06.221+02:00,2026-06-26T21:33:06.241+02:00
6,10.215.173.1,50150,34.117.147.68,443,10345,Agar.io,com.miniclip.agar.io,HTTPS,Error,rt.applovin.com,5789,5911,9,8,2026-06-26T21:33:06.249+02:00,2026-06-26T21:33:07.672+02:00
17,10.215.173.1,21676,10.215.173.2,53,10345,Agar.io,com.miniclip.agar.io,DNS,Closed,googleads.g.doubleclick.net,73,89,1,1,2026-06-26T21:33:06.929+02:00,2026-06-26T21:33:06.955+02:00
6,10.215.173.1,44134,142.251.39.194,443,10345,Agar.io,com.miniclip.agar.io,HTTPS,Closed,googleads.g.doubleclick.net,5019,221917,37,60,2026-06-26T21:33:06.959+02:00,2026-06-26T21:33:31.757+02:00
